IDTeme;PROGRAMNAJU;TEMATSKA OBLASTNAJU;Oblast akreditacije;TEMA;Datum početka;Datum završetka;Lokacija;Verifikacija;Broj realizovanih dana;Broj polaznika;Evaluacija opšta ocena;Tip obuke;Godina realizacije
2018-01-06;UVODNI PROGRAM OBUKE DRŽAVNIH SLUŽBENIKA;UVODNI PROGRAM OBUKE ZA SLUŽBENIKE SA STEČENIM VISOKIM OBRAZOVANjEM;;Modul 6. UPRAVNI POSTUPAK I UPRAVNI SPOR;1.1.2018;31.12.2018;Moodle;sertifikat;;130;;Onlajn obuka;2018
2018-05-01;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVNI POSTUPAK;;Opšti upravni postupak i osnovi upravnih sporova;1.1.2018;31.12.2018;Moodle;sertifikat;;176;;Onlajn obuka;2018
2018-13-05;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;POSLOVNA KOMUNIKACIJA;;Interkulturalna komunikacija, program na nemačkom jeziku;25.1.2018;26.1.2018;Palata Srbija;potvrda;2;11;3,88;Klasična učionica;2018
2018-15-05;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;DIGITALNA PISMENOST;;Obrada teksta;13.2.2018;26.2.2018;SKIP MDULS;sertifikat;2;14;3,18;Klasična učionica;2018
2018-15-09;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;DIGITALNA PISMENOST;;Informacije i komunikacije;14.2.2018;14.2.2018;Palata Srbija;sertifikat;1;12;4,00;Klasična učionica;2018
2018-15-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;DIGITALNA PISMENOST;;Tabelarne kalkulacije;19.2.2018;20.2.2018;SKIP MDULS;sertifikat;2;17;3,90;Klasična učionica;2018
2018-14-18;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;;Nemački jezik (nivo B11);20.2.2018;5.6.2018;Palata Srbija;bez potvrde;30;11;;Klasična učionica;2018
2018-15-05;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;DIGITALNA PISMENOST;;Obrada teksta;21.2.2018;22.2.2018;SKIP MDULS;sertifikat;2;13;3,92;Klasična učionica;2018
2018-15-07;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INFORMATIČKI (IT) POSLOVI;;Baze podataka;23.2.2018;26.2.2018;Palata Srbija;sertifikat;2;17;3,75;Klasična učionica;2018
2018-15-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;DIGITALNA PISMENOST;;Prezentacije;27.2.2018;28.2.2018;SKIP MDULS;sertifikat;2;16;3,65;Klasična učionica;2018
2018-09-10;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE LjUDSKIM RESURSIMA;;Praktična obuka za rad na portalu Centralnog registra obaveznog socijalnog osiguranja;9.3.2018;9.3.2018;Palata Srbija;bez potvrde;1;21;3,88;Klasična učionica;2018
2018-16-02;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Upravljanje promenama i rukovođenje;13.3.2018;13.3.2018;Palata Srbija;potvrda;1;9;3,52;Klasična učionica;2018
2018-09-10;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE LjUDSKIM RESURSIMA;;Praktična obuka za rad na portalu Centralnog registra obaveznog socijalnog osiguranja;15.3.2018;15.3.2018;Palata Srbija;bez potvrde;1;18;3,72;Klasična učionica;2018
2018-16-02;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Upravljanje promenama i rukovođenje;15.3.2018;15.3.2018;Palata Srbija;potvrda;1;4;3,44;Klasična učionica;2018
2018-04-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVNI POSTUPAK;;Opšti upravni postupak;19.3.2018;20.3.2018;Palata Srbija;potvrda;2;23;3,43;Klasična učionica;2018
2018-14-18;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;;Engleski jezik (nivoi B1 i B2);19.3.2018;19.6.2018;Palata Srbija;potvrda projekat;30;120;;Klasična učionica;2018
2018-15-12;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;DIGITALNA PISMENOST;;Baze podataka – napredni nivo;21.3.2018;23.3.2018;Palata Srbija;sertifikat;3;12;3,90;Klasična učionica;2018
2018-16-02;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Upravljanje promenama i rukovođenje;21.3.2018;21.3.2018;Palata Srbija;potvrda;1;15;3,41;Klasična učionica;2018
2018-05-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INSPEKCIJSKI NADZOR;;Ka efikasnijim inspekcijama;22.3.2018;23.3.2018;Palata Srbija;potvrda;2;13;3,70;Klasična učionica;2018
2018-00-18;POSEBNI DOGAĐAJI;KONFERENCIJE;;Učenje kroz gejmifikaciju;23.3.2018;23.3.2018;SKIP MDULS;bez potvrde;1;34;;Klasična učionica;2018
2018-13-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;POSLOVNA KOMUNIKACIJA;;Pisana komunikacija u administraciji;26.3.2018;26.3.2018;Palata Srbija;potvrda;1;26;3,92;Klasična učionica;2018
2018-04-04;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;NORMATIVNI PROCES;;Analiza efekata propisa – put do kvalitetnih propisa;27.3.2018;28.3.2018;Palata Srbija;potvrda;2;18;3,66;Klasična učionica;2018
2018-15-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;DIGITALNA PISMENOST;;Tabelarne kalkulacije;27.3.2018;28.3.2018;SKIP MDULS;sertifikat;2;17;3,91;Klasična učionica;2018
2018-16-01;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Upravljanje promenama;28.3.2018;28.3.2018;Palata Srbija;potvrda;1;16;3,65;Klasična učionica;2018
2018-03-07;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;;Popis administrativnih postupaka koji se odnose na poslovanje;29.3.2018;29.3.2018;Palata Srbija;potvrda;1;17;;Klasična učionica;2018
2018-15-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;DIGITALNA PISMENOST;;Prezentacije;29.3.2018;30.3.2018;SKIP MDULS;sertifikat;2;15;3,90;Klasična učionica;2018
2018-03-07;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;;Popis administrativnih postupaka koji se odnose na poslovanje;30.3.2018;30.3.2018;Palata Srbija;potvrda;1;16;;Klasična učionica;2018
2018-10-05;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Anti – stres radionica;30.3.2018;30.3.2018;Palata Srbija;potvrda;1;7;3,58;Klasična učionica;2018
2018-16-02;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Upravljanje promenama i rukovođenje;3.4.2018;3.4.2018;Palata Srbija;potvrda;1;12;3,48;Klasična učionica;2018
2018-03-07;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;;Popis administrativnih postupaka koji se odnose na poslovanje;10.4.2018;10.4.2018;Palata Srbija;potvrda;1;16;;Klasična učionica;2018
2018-10-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;U par koraka do očuvanja fizičkog zdravlja na radu;10.4.2018;10.4.2018;Palata Srbija;potvrda;1;17;3,90;Klasična učionica;2018
